uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
A0A096MIV5,-0.02009016529001073,-0.10819448002676008,0.06801414944673861,23.92486811782867,-0.4727883152073125,-5.742764125168619,0.6410023891659155,0.9336866381280222,-0,-0,0.9911052540098668,0,CTLvPHE,Abcf2,A0A096MIV5_RAT,ATP binding cassette subfamily F member 2
A0A096MJA9,-0.03966135476867905,-0.119405224634897,0.04008251509753891,23.06412812494928,-1.0312183671800443,-5.351820938384062,0.3135979073808953,0.8409832542912574,-0,-0,0.9550486105090936,0,CTLvPHE,Asph,A0A096MJA9_RAT,Aspartyl/asparaginyl beta-hydroxylase
A0A096MJE3,0.30729900849842906,-0.13823898148238783,0.752836998479246,22.92912063924975,1.4300684326511808,-4.913926130168353,0.16669065282394102,0.7657423708825505,0,0,0.5766258367380837,0,CTLvPHE,Gspt2,A0A096MJE3_RAT,G1 to S phase transition 2
A0A096MJL4,NA,NA,NA,14.585575365706578,NA,NA,NA,NA,NA,NA,NA,0,CTLvPHE,Tlk1,A0A096MJL4_RAT,Tousled-like kinase 1
A0A096MJM8,0.1155679599611723,-0.5312174224022314,0.762353342324576,17.43511994325785,0.3768329989441904,-5.572692527650512,0.71093597196483,0.942119741106209,0,0,0.9613385364878295,0,CTLvPHE,Las1l,A0A096MJM8_RAT,"LAS1-like, ribosome biogenesis factor"
A0A096MJX5,-0.059577774232046465,-0.3686777574353317,0.24952220897123878,18.597831290534362,-0.41611378512843805,-5.63086456833967,0.6840686443352013,0.9383928320762103,-0,-0,0.9776324450052877,0,CTLvPHE,C3h9orf78,A0A096MJX5_RAT,Similar to human chromosome 9 open reading frame 78
A0A096MJY1,0.15482676176659993,-0.018861695092151298,0.32851521862535116,24.294974724662925,1.84822770564131,-4.3338460690937834,0.07800265624861351,0.7015233438457453,1,0,0.6737036259604008,0,CTLvPHE,Gpc6,A0A096MJY1_RAT,Glypican 6
A0A096MJZ0,-0.08969123264029477,-0.2772468174604418,0.09786435217985223,20.58681232174585,-0.9915175241660786,-5.388530500412048,0.3321706838043278,0.8422145462771807,-0,-0,0.9058792358143742,0,CTLvPHE,Dnal1,DNAL1_RAT,Dynein axonemal light chain 1
A0A096MK48,0.13047284754572175,-0.1258479572190448,0.3867936523104883,21.641376981320573,1.0553990168664356,-5.328826658285852,0.3026500997444799,0.8355611339856002,0,0,0.8556120078353924,0,CTLvPHE,Serf1,A0A096MK48_RAT,Small EDRK-rich factor 1
A0A096MK61,-0.10307663127362687,-0.2120669889994147,0.005913726452160956,24.58149650318869,-1.96088688091302,-4.159229231034936,0.06262121584907375,0.6977086115248745,-1,-0,0.7515711577373965,0,CTLvPHE,Crtap,A0A096MK61_RAT,Cartilage associated protein
A0A096MK89,-0.08618976726635807,-0.341737258343461,0.16935772381074488,27.503351215814856,-0.6993015468215095,-5.617484212731423,0.4916623473951366,0.8920568717902592,-0,-0,0.9406430395526887,0,CTLvPHE,Adgrv1,A0A096MK89_RAT,Adhesion G-protein coupled receptor V1
A0A096MKB0,0.23501560655848408,-0.3010184267914757,0.7710496399084439,19.306766121199328,0.9290197835558973,-5.3469813030821784,0.36660808815007084,0.8548236327201116,0,0,0.7899155778814078,0,CTLvPHE,Rab24,A0A096MKB0_RAT,"RAB24, member RAS oncogene family"
