uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
A0A096MIV5,-0.020090165289975204,-0.1128886539547027,0.07270832337475229,23.92486811782867,-0.4484023591121748,-5.636765827262524,0.6581516338568927,0.941952576627822,-0,-0,0.9916310993753247,0,CTLvPHE,Abcf2,A0A096MIV5_RAT,ATP binding cassette subfamily F member 2
A0A096MJA9,-0.039661354768664836,-0.12472985606948288,0.045407146532153206,23.06412812494928,-0.965659562483204,-5.303481476293509,0.34448091408160275,0.8636994335902687,-0,-0,0.9586130642963314,0,CTLvPHE,Asph,A0A096MJA9_RAT,Aspartyl/asparaginyl beta-hydroxylase
A0A096MJE3,0.30729900849847525,-0.1369221420709742,0.7515201590679247,22.92912063924975,1.4336055771618383,-4.813733173597189,0.16557156388387267,0.7967708239368329,0,0,0.575433439073814,0,CTLvPHE,Gspt2,A0A096MJE3_RAT,G1 to S phase transition 2
A0A096MJL4,-0.2047066610512438,-0.49383223197169074,0.08441890986920314,14.576074561195467,-1.4672807733163893,-4.772319045511356,0.1562759704394358,0.7967708239368329,-0,-0,0.6838870258475065,0,CTLvPHE,Tlk1,A0A096MJL4_RAT,Tousled-like kinase 1
A0A096MJM8,0.09407694951176637,-0.35010592564205795,0.5382598246655907,17.426451201325264,0.438923841302613,-5.640633359347272,0.6649441990682752,0.9421688381277905,0,0,0.9623391902939369,0,CTLvPHE,Las1l,A0A096MJM8_RAT,"LAS1-like, ribosome biogenesis factor"
A0A096MJX5,-0.024091282227548305,-0.22824764014913812,0.1800650756940415,18.590947633499454,-0.2445336071897028,-5.702492415936503,0.8090533922011651,0.9643285170565878,-0,-0,0.9949082962772519,0,CTLvPHE,C3h9orf78,A0A096MJX5_RAT,Similar to human chromosome 9 open reading frame 78
A0A096MJY1,0.15482676176663546,-0.020022975751289473,0.3296764992845604,24.294974724662925,1.8343892493745233,-4.273009266562168,0.07990262855086677,0.742635371658418,1,0,0.6762185555245265,0,CTLvPHE,Gpc6,A0A096MJY1_RAT,Glypican 6
A0A096MJZ0,-0.08969123264028767,-0.27818155267212175,0.09879908739154641,20.58681232174585,-0.9859193567390849,-5.2857396574244,0.33472327149063996,0.8636994335902687,-0,-0,0.906501429222551,0,CTLvPHE,Dnal1,DNAL1_RAT,Dynein axonemal light chain 1
A0A096MK48,0.13047284754575372,-0.12602492157883272,0.38697061667034016,21.641376981320573,1.0541545901512381,-5.223702794046218,0.3031112903103478,0.8587550473043013,0,0,0.8557820078889615,0,CTLvPHE,Serf1,A0A096MK48_RAT,Small EDRK-rich factor 1
A0A096MK61,-0.1030766312735878,-0.21552194727612237,0.00936868472894678,24.58149650318869,-1.898646572137603,-4.177112954100007,0.07051167921812418,0.7349952889451142,-1,-0,0.7608212422888628,0,CTLvPHE,Crtap,A0A096MK61_RAT,Cartilage associated protein
A0A096MK89,-0.0861897672663261,-0.3419285662778168,0.1695490317451646,27.503351215814856,-0.6984363630312215,-5.50464190136236,0.49213132790885683,0.9010572453988483,-0,-0,0.9407203395001583,0,CTLvPHE,Adgrv1,A0A096MK89_RAT,Adhesion G-protein coupled receptor V1
A0A096MKB0,0.1090882119955161,-0.3078770123448382,0.5260534363358704,19.278384968325742,0.5421828092632337,-5.593735493016328,0.5930750080163266,0.9278950960802522,0,0,0.9446021603567913,0,CTLvPHE,Rab24,A0A096MKB0_RAT,"RAB24, member RAS oncogene family"
A0A096MKC0,-0.09530630496615444,-0.23242846744412143,0.04181585751181255,22.0284557255528,-1.4395914571496236,-4.8063847288877435,0.16375320507722377,0.7967708239368329,-0,-0,0.8416031150767299,0,CTLvPHE,Gigyf2,A0A096MKC0_RAT,GRB10 interacting GYF protein 2
A0A096MKD1,0.1585674548675371,-0.4752982178056433,0.7924331275407175,20.47645927842924,0.5184233785333213,-5.605379134118332,0.6092740313723812,0.9317829695804591,0,0,0.9244390709489058,0,CTLvPHE,Eef1akmt1,A0A096MKD1_RAT,EEF1A lysine methyltransferase 1
A0A096MKE9,0.00506019082174447,-0.21836641967432274,0.22848680131781168,21.28886278642014,0.04693531673433534,-5.729432858801301,0.9629829891243554,0.9950584134856542,0,0,0.9998091501855249,0,CTLvPHE,Lig3,A0A096MKE9_RAT,DNA ligase
A0A096MKH2,0.040534202295962274,-0.21443178815919173,0.2955001927511163,25.445917406940662,0.3294633664492487,-5.679746629322996,0.7448830156511089,0.9561765619551301,0,0,0.988132519141662,0,CTLvPHE,Vta1,A0A096MKH2_RAT,Vesicle trafficking 1
A0A0G2JT63,-0.07647044345541687,-0.16666193743100033,0.013721050520166575,23.10450281284422,-1.756116445863011,-4.386288787245706,0.09267483358738055,0.7449319751385176,-1,-0,0.8336871582656715,0,CTLvPHE,Cyfip2,A0A0G2JT63_RAT,Cytoplasmic FMR1-interacting protein
A0A0G2JT78,-0.10920706937688607,-0.34819461963001064,0.1297804808762385,20.725632637007767,-0.9469852851742389,-5.319401546875714,0.35380564325784525,0.8653205596336971,-0,-0,0.8927336835742756,0,CTLvPHE,Rab6b,A0A0G2JT78_RAT,Ras-related protein Rab-6B
A0A0G2JT90,0.03759792158119879,-0.22442918716395532,0.2996250303263529,18.797403067887483,0.2973619310837912,-5.6891281278929124,0.7689453143134611,0.9610426609114062,0,0,0.990170324308289,0,CTLvPHE,Ash2l,A0A0G2JT90_RAT,ASH2 like histone lysine methyltransferase complex subunit
A0A0G2JTA4;A0ABK0LK09,0.06678169458505678,-0.17642160415198999,0.30998499332210355,22.095446430011126,0.569056946668061,-5.579955280076315,0.5750103621639466,0.924556641204392,0,0,0.9637196940207172,0,CTLvPHE,Gvin1;Gvinp1,A0A0G2JTA4_RAT;A0ABK0LK09_RAT,"GTPase, very large interferon inducible 1"
A0A0G2JTR4,0.01148959634434732,-0.21299127462458578,0.23597046731328042,19.677420812067464,0.10607015121249243,-5.725195251405731,0.9164760092351603,0.9909765489442387,0,0,0.9989983863823058,0,CTLvPHE,Abr,ABR_RAT,Active breakpoint cluster region-related protein
A0A0G2JTX2,0.07796836921199102,-0.12327012543665447,0.27920686386063653,25.326963337052117,0.8028698269712912,-5.433204048754572,0.43052244709439536,0.8834160475119465,0,0,0.936403976768443,0,CTLvPHE,Praf2,A0A0G2JTX2_RAT,PRA1 family protein
A0A0G2JTZ9,-0.003052558762327351,-0.2920539235277201,0.2859488060030654,22.15432025128418,-0.021889301075688056,-5.730240407354719,0.982731133527712,0.997064618344838,-0,-0,0.9999468267177326,0,CTLvPHE,Abcg3l2,A0A0G2JTZ9_RAT,"ATP-binding cassette, subfamily G (WHITE), member 3-like 3"
A0A0G2JU15,0.17940896806567252,-0.16591626504529772,0.5247342011766427,19.506600981156275,1.076672424266724,-5.2024250139293295,0.29314819381155827,0.853431830568287,0,0,0.8023995354064134,0,CTLvPHE,Ptcd3,A0A0G2JU15_RAT,Small ribosomal subunit protein mS39
A0A0G2JU45,0.13972808052718833,-0.4542929519951209,0.7337491130494975,17.254727952388755,0.48747194504381003,-5.6197847356614785,0.6306864220061092,0.935203954040904,0,0,0.9376231508746883,0,CTLvPHE,Trmt5,A0A0G2JU45_RAT,tRNA (guanine(37)-N1)-methyltransferase
