uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
A0A096MIV5,-0.02009016528998231,-0.11017187549144965,0.06999154491148503,23.92486811782867,-0.4623773134807427,-5.653775317961673,0.6483274289763534,0.9389207874579559,-0,-0,0.9913315274033867,0,CTLvPHE,Abcf2,A0A096MIV5_RAT,ATP binding cassette subfamily F member 2
A0A096MJA9,-0.03966135476865773,-0.121595953116825,0.04227324357950954,23.06412812494928,-1.0035750273301873,-5.290979992329599,0.32643799289089137,0.857109620900117,-0,-0,0.9565698252234294,0,CTLvPHE,Asph,A0A096MJA9_RAT,Aspartyl/asparaginyl beta-hydroxylase
A0A096MJE3,0.30729900849847525,-0.1384868386438381,0.7530848556407885,22.92912063924975,1.429172045206882,-4.8376452233079705,0.16692826230314312,0.7925205792665616,0,0,0.5768782972609711,0,CTLvPHE,Gspt2,A0A096MJE3_RAT,G1 to S phase transition 2
A0A096MJL4,0.29039539789801516,-0.16963109432115686,0.7504218901171872,14.155169225295396,1.308749464059578,-4.979639749629584,0.2040562412573033,0.8065242221165771,0,0,0.630310500951004,0,CTLvPHE,Tlk1,A0A096MJL4_RAT,Tousled-like kinase 1
A0A096MJM8,0.13850007792132502,-0.32403003971348593,0.6010301955561359,17.442192763837195,0.6208113248875033,-5.57410923174419,0.5410694601275219,0.9105499936474765,0,0,0.9184500088870712,0,CTLvPHE,Las1l,A0A096MJM8_RAT,"LAS1-like, ribosome biogenesis factor"
A0A096MJX5,-0.03872542013537483,-0.2475749764096834,0.17012413613893373,18.592614196802682,-0.38442552075653896,-5.684597611722772,0.70433462778085,0.945925449404016,-0,-0,0.9865183761567587,0,CTLvPHE,C3h9orf78,A0A096MJX5_RAT,Similar to human chromosome 9 open reading frame 78
A0A096MJY1,0.15482676176662835,-0.01990870853946808,0.3295622320727248,24.294974724662925,1.8370229727302003,-4.285034225862926,0.07968258250658207,0.729459196910881,1,0,0.6759298922083471,0,CTLvPHE,Gpc6,A0A096MJY1_RAT,Glypican 6
A0A096MJZ0,-0.089691232640273455,-0.2781206343082778,0.09873816902773089,20.58681232174585,-0.9868495641278752,-5.305926032239781,0.33439045759211805,0.857109620900117,-0,-0,0.9064205511754667,0,CTLvPHE,Dnal1,DNAL1_RAT,Dynein axonemal light chain 1
A0A096MK48,0.13047284754576083,-0.1264988366078556,0.38744453169937726,21.641376981320573,1.0526512248621207,-5.24581975639963,0.3038665166844342,0.8483825245925799,0,0,0.8560599077650786,0,CTLvPHE,Serf1,A0A096MK48_RAT,Small EDRK-rich factor 1
A0A096MK61,-0.10307663127359135,-0.21368744812461388,0.007534185577431185,24.58149650318869,-1.93202279936719,-4.141956837256133,0.06626740263105692,0.7185190036883456,-1,-0,0.7559682735414714,0,CTLvPHE,Crtap,A0A096MK61_RAT,Cartilage associated protein
