contrast,database,pathway,label,NES,pval,padj,size,dedup_kept,leadingEdge
PC1,Hallmark,HALLMARK_ADIPOGENESIS,Adipogenesis,1.705,7.84e-4,0.00627,119,TRUE,Uqcr10;Prdx3;Idh3g;Atp1b3;Samm50;Aldoa;Mdh2;Cs;Aldh2;Mtarc2;Taldo1;Acadm;Por;Dhcr7;Echs1;Gpx4;Slc25a1;Atp5po;Etfb;Dbt;Hibch;Dhrs7;Ndufs3;Acaa2;Uqcrq;Uqcrc1;Esyt1;Rtn3;Ywhag;Lpcat3;Uck1;Cd151;Slc25a10;Idh3a;Ech1;Cyc1;Ptcd3;Pgm1;Cpt2;Mtch2;Decr1;Qdpr;Acads;Ndufa5
PC1,Hallmark,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,-1.393,0.0598,0.156,42,TRUE,Flna;Capg;Eif3j;Tgfb2;Stat1;Icam1;Eif5a;Ccnd2;Rps3a;Cd47;Csk;Tpd52;Npm1;Eif3d;Degs1;Map3k7
PC1,Hallmark,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,1.089,0.33,0.495,43,TRUE,Idi1;Actn1;Plpp1;Ccnd1;Acsl3;Sms;Cdk6;Gnai3;Ccnd3;Gpd1l;Rrp12;Stk39;Spcs3
PC1,Hallmark,HALLMARK_ANGIOGENESIS,Angiogenesis,-1.736,0.0095,0.0388,16,TRUE,Col3a1;Lrpap1;Col5a2;Fstl1;Ccnd2;Itgav
PC1,Hallmark,HALLMARK_APICAL_JUNCTION,Apical Junction,-1.105,0.273,0.436,80,TRUE,Cdh15;Flnc;Epb41l2;Inppl1;Sorbs3;Cnn2;Ikbkg;Zyx;Icam1;Tjp1;Hadh;Nectin2;Pcdh1;Cdh11;Wasl;Vasp;Msn;Stx4
PC1,Hallmark,HALLMARK_APICAL_SURFACE,Apical Surface,0.652,0.913,0.952,10,TRUE,Gstm5;Thy1;Ephb4
PC1,Hallmark,HALLMARK_APOPTOSIS,Apoptosis,-1.366,0.0618,0.156,68,TRUE,Pea15;Hmgb2;Sptan1;Tgfb2;Ppp3r1;Sod1;Add1;Mgmt;Bcap31;Cdkn1b;Ccnd2;Eno2;Bid;Cd44;Rock1;Bax;Avpr1a;Hspb1;Sqstm1;Gpx1;Dnaja1;Dap
PC1,Hallmark,HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,1.273,0.146,0.315,34,TRUE,Slc35b2;Idi1;Aldh9a1;Abcd3;Acsl5;Acsl1;Pex13;Slc29a1;Idh2
PC1,Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,1.419,0.0541,0.156,43,TRUE,Acat2;Idi1;Nsdhl;Anxa5;Fasn;Lgals3;Sqle;Dhcr7;Ctnnb1;Fdft1;Fdps;Ech1;Fads2
PC1,Hallmark,HALLMARK_COAGULATION,Coagulation,1.017,0.422,0.563,33,TRUE,Lta4h;Prep;Arf4;Anxa1;Gnb2;Rac1;Sirt2;Pef1;Mmp14
PC1,Hallmark,HALLMARK_COMPLEMENT,Complement,1.612,0.00768,0.0368,63,TRUE,Pfn1;Lap3;Lta4h;Prep;Ppp4c;Src;Anxa5;Ppp2cb;Ctsd;Gnb2;Lgals3;Gnai2;Gnai3;Casp3;Ehd1;F5;Cblb;Lipa;Usp15;Mmp14;Usp14
PC1,Hallmark,HALLMARK_DNA_REPAIR,DNA Repair,1.623,0.00509,0.0305,75,TRUE,Sec61a1;Vps28;Aprt;Nudt21;Rbx1;Pnp;Umps;Ddb1;Ncbp2;Hprt1;Nt5c3a;Gpx4;Tmed2;Ssrp1;Sdcbp;Impdh2;Rala;Rfc5;Dad1;Rfc3;Polr2g;Rfc4;Nme1;Polr1c;Eloa;Rnmt;Itpa;Mpc2
PC1,Hallmark,HALLMARK_E2F_TARGETS,E2F Targets,-0.973,0.56,0.689,104,TRUE,Ranbp1;Srsf2;Paics;Hmgb2;Psip1;Anp32e;Nasp;Stmn1;Dnmt1;Lbr;Gspt1;Cdkn1b;Jpt1;Hnrnpd;Cbx5;Rrm2;Smc1a;Nap1l1;Smc3;Ak2;Dut;Spc24;Nbn;Trip13;H2ax
PC1,Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,EMT,-1.82,3.04e-4,0.00292,94,FALSE,Flna;Col3a1;Gpx7;Sparc;Col1a1;Capg;Calu;Mylk;Col1a2;Col5a2;Colgalt1;Cald1;Col5a1;Itga5;Sdc1;Fstl1;Eno2;Gpc1;Tpm4;Tpm1;Fbln1;Itgav;Cap2;Cdh11;Col12a1;Pdlim4;Cd44;Lrp1
PC1,Hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,-0.908,0.632,0.74,48,FALSE,Slc1a4;Farp1;Gab2;Bag1;Fkbp4;Amfr;Flnb;Cd44;Retreg1;Fhl2;Rab31;Dynlt3;Ncor2;Papss2
PC1,Hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,1.048,0.385,0.529,49,TRUE,Ugdh;Gale;Ccnd1;Gfus;Blvrb;Hprt1;Dhcr7;Slc29a1;Etfb;Fdft1;Idh2
