figure,panel,pathway,database,contrast,NES,pval,padj,size,sig
transplant,respiration,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,Reactome,CTLvMITO,2.194126237043917,3.4097689612089874e-5,0.00601824221653386,20,TRUE
transplant,respiration,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,CTLvMITO,2.077494948026508,3.224693461201604e-8,1.54785286137677e-6,161,TRUE
transplant,respiration,MITOCARTA_METABOLISM__CARBOHYDRATE_METABOLISM__TCA_CYCLE,MitoCarta,CTLvMITO,2.0405865232294484,4.420134470392067e-4,0.00353610757631365,16,TRUE
transplant,respiration,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,Reactome,CTLvMITO,2.031275666693789,3.22477351601312e-6,0.00113834505115263,107,TRUE
transplant,respiration,MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA__TRANSLATION__MITOCHONDRIAL_RIBOSOME,MitoCarta,CTLvMITO,1.9963047266194376,9.4297979061592e-5,0.00150876766498547,55,TRUE
transplant,respiration,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG,CTLvMITO,1.987530831622016,5.308103311077797e-4,0.01500637295536575,22,TRUE
transplant,respiration,REACTOME_CRISTAE_FORMATION,Reactome,CTLvMITO,1.8211116327357684,0.00401524238220682,0.08104503164763001,16,FALSE
transplant,respiration,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,Reactome,CTLvMITO,1.812979638487234,0.00320584635792266,0.08083312602476422,27,FALSE
transplant,carriers_fuel,KEGG_PROPANOATE_METABOLISM,KEGG,CTLvMITO,2.0917218995493094,1.5787093176828845e-4,0.00789354658841442,20,TRUE
transplant,carriers_fuel,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,CTLvMITO,2.080498190335166,1.5314749041307188e-4,0.00789354658841442,32,TRUE
transplant,carriers_fuel,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,Reactome,CTLvMITO,1.9265219168046657,5.976260426792716e-5,0.00703206643552609,97,TRUE
transplant,carriers_fuel,MITOCARTA_SMALL_MOLECULE_TRANSPORT__SLC25A_FAMILY,MitoCarta,CTLvMITO,1.822441130309592,0.00306580787304859,0.01635097532292585,14,TRUE
transplant,carriers_fuel,HALLMARK_ADIPOGENESIS,Hallmark,CTLvMITO,1.7120533966593194,3.447077853563081e-4,0.00551532456570093,118,TRUE
transplant,carriers_fuel,MITOCARTA_METABOLISM__AMINO_ACID_METABOLISM__BRANCHED_CHAIN_AMINO_ACID_METABOLISM,MitoCarta,CTLvMITO,1.6943953470360054,0.01284353158717344,0.0456658900877278,23,TRUE
