pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
HALLMARK_ADIPOGENESIS,0.6930232558139535,0.8314217499180749,0.07011321576425601,-0.19608754203672912,-0.9033499741412545,118,Me1;Uqcrq;Dhrs7;Rmdn3;Lpcat3;Bcl2l13;Plin2;Itsn1;Grpel1;Esyt1;Coq9;Agpat3;Uqcr10;Fah;Prdx3;Retsat;Jagn1;Ndufa5;Slc25a1;Cs;Atp1b3;Idh3a;Dhcr7;Samm50;Cyc1;Tkt;Cpt2;Etfb;Uck1;Mdh2;Mtch2;Hspb8;Cavin1;Atp5po;Gpat4,Hallmark,CTLvPHE
HALLMARK_ALLOGRAFT_REJECTION,0.6764091858037579,0.8314217499180749,0.06598161440087301,-0.22845712532536644,-0.8760969696139648,41,Nme1;Nck1;Bcat1;Ube2n;Gbp2;Rars1;Galnt1;Rps19,Hallmark,CTLvPHE
HALLMARK_ANDROGEN_RESPONSE,0.39957716701902746,0.6613691040314937,0.09466462231533423,-0.2653123223661879,-1.0329428016469677,43,Stk39;Ube2i;Plpp1;Xrcc6;Cdk6;Spcs3;Dhcr24;Sms,Hallmark,CTLvPHE
HALLMARK_ANGIOGENESIS,0.5640074211502782,0.7887185775597793,0.06911984565510101,0.31980228475337263,0.9243279413078032,16,Lpl;Col5a2;S100a4;Jag1;App,Hallmark,CTLvPHE
HALLMARK_APICAL_JUNCTION,0.03396230148749059,0.17271745391739954,0.3217759180753611,0.3377380589813995,1.4287315544780925,80,Itga3;Slit2;Pcdh1;Wasl;Actg1;Tjp1;Cap1;Itgb1;Sgce;Zyx;Actn4;Stx4;Cnn2;Crat;Nf2;Nexn;Vcl;Cdh15;Hras;Lima1;Ikbkg;Myh10;Arhgef6,Hallmark,CTLvPHE
HALLMARK_APICAL_SURFACE,0.34709193245778613,0.6170523243693975,0.09592067779217453,0.4223507918202042,1.076437778244257,10,Afap1l2;Flot2;App;Hspb1,Hallmark,CTLvPHE
HALLMARK_APOPTOSIS,0.30638297872340425,0.6127659574468085,0.11146266692298015,-0.26052423073379705,-1.0964768478491984,68,Igf2r;Hmox1;Psen1;Dap;Cdk2;Cdkn1a;Lmna;Retsat;Avpr1a;Ctnnb1;Pdgfrb;Anxa1;Dnm1l;Lgals3;Bgn;Ptk2;Ppt1;Vdac2;Etf1;Casp8;Mgmt,Hallmark,CTLvPHE
HALLMARK_BILE_ACID_METABOLISM,0.6173076923076923,0.823076923076923,0.06643641376628104,0.2569770177672141,0.8945868767252738,34,Prdx5;Pfkm;Pex19;Optn;Idh1;Pnpla8;Mlycd;Nedd4;Gclm;Fads1,Hallmark,CTLvPHE
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.4555765595463138,0.7289224952741021,0.08108020575508663,0.2678563693432702,0.9936189876895991,43,Lpl;Actg1;Atxn2;S100a11;Mvk;Lss;Fbxo6,Hallmark,CTLvPHE
HALLMARK_COAGULATION,0.1419624217118998,0.4234048809173772,0.16957064440562838,-0.3447003968762664,-1.2547283873048214,33,S100a13;Crip2;Adam9;Rac1;Pef1;Anxa1;Lta4h;Prep;Htra1,Hallmark,CTLvPHE
