pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,0.15873015873015872,0.31746031746031744,0.16693384871319314,-0.24191068356801498,-1.1295041549378528,121,Ahcy;Gstz1;Gls;Blmh;Hsd17b10;Crtap;Fah;Bcat1;Etfa;Enoph1;Aldh18a1;Pycr1;Sephs1;Pycr2;Pcmt1;Slc25a12;Iars1;Rars2;Pcca;Rars1;Psat1;Got2;Auh;Mars1;Asrgl1;Cad;Ivd;Atp2b4;Oat;Etfb;Phgdh;Spr;P4ha1;Bcat2,GO Slim,CTLvPHE
GOSLIM_CHROMOSOME_SEGREGATION,0.017019074660558804,0.12487207834444589,0.35248785758361917,-0.28485341364137673,-1.3689005429162489,146,Dlgap5;Arl8a;Ctcf;Ube2i;Mad2l1;Cdc23;Rps3;Ik;Gtf2b;Mapre2;Haus6;Becn1;Rab11a;Top1;Mapre1;Nsmce2;Nudc;Ppp2r2a;Bccip;Bub3;Ciao1;Zfp207;Cltc;Arl8b;Tubb5;Ccne1;Tubg1;Dis3l2;Cdk1;Ppp2r1a;Ran;Chmp2b;Bcas2;Smc2;Drg1;Dync1h1;Kif2a;Uvrag;Fbxo30;Hnrnpu;Rad21;Mapk15;Csnk2a1;Chmp3,GO Slim,CTLvPHE
GOSLIM_CILIUM_ORGANIZATION,0.27256317689530685,0.39370236662655433,0.10839425585339667,0.2550475818424062,1.1035734708247302,88,Pcm1;Trim32;Gsn;Rabep2;Lama5;Dynlt2b;Nudcd3;Asap1;Wdr44;Hdac6;Cyld;Kctd17;Kif3a;Arhgap35;Unc119b;Atg3;Yap1;Lima1;Grk2;Gorab;Micall1,GO Slim,CTLvPHE
GOSLIM_CYTOKINESIS,0.5202205882352942,0.6440826330532213,0.072714107793444685,0.22946853053262053,0.9816309098252757,85,Birc6;Mtmr3;Anln;Snx18;Rock1;Rhoa;Rock2;Pin1;Chmp4b;Gipc1;Prkce;Wnk1;Usp8;Stambp;Myh10;Vps4a;Git1;Myh9;Nup62,GO Slim,CTLvPHE
GOSLIM_CYTOPLASMIC_TRANSLATION,0.7643020594965675,0.7933579335793358,0.06450312496564929,-0.18507158736348917,-0.8886878423137081,143,Rpl35;Ltn1;Nck1;Eif2b1;Eif3k;Skic3;Eif4a2;Eif3m;Paip1;Gigyf2;Eif3e;Eif3l;Sh3bgrl;Eif4a1;Eif2s3;Ascc2;Rps9;Eif3i;Rplp0;Rpl3;Trip4;Eif3f;Rpl18a;Rack1;Pelo;Etf1;Eif2s2;Eif5;Drg1;Ascc3;Tcf25;Rnf14;Eif2ak4;Hnrnpu;Rpl10;Rpl29;Rpl11;Cpeb2;Rwdd1;Ufsp2;Mrpl58;Rpl7;Rpl37a,GO Slim,CTLvPHE
GOSLIM_DETOXIFICATION,0.6716101694915254,0.779912369396697,0.06705125798294667,-0.21278368583918744,-0.8842625836536759,60,Gstz1;Gpx8;Prdx3;Mgst2;Gstm5;Adk;Lancl1;Gstm1;Gstm2;Pgp;Fbln5;Prdx2;Clic1;Adh5;Gatd1;Pxdn;Prdx1,GO Slim,CTLvPHE
GOSLIM_DIGESTION,0.40977443609022557,0.5327067669172932,0.08653997374441245,0.3193038184616994,1.0242183941933714,22,Ezr;Vamp8;Hip1r;Pawr;Hspb1;Lima1;Wnk1,GO Slim,CTLvPHE
GOSLIM_DNA_RECOMBINATION,0.029553496136063655,0.1280651499229425,0.35248785758361917,-0.3153193133267393,-1.4034466429482129,91,Terf2;Mcm7;Rpa1;H1f10;Prmt1;Xrcc6;Hdac10;Ubr2;Wdr48;Ube2n;H1f2;Yy1;Nsmce2;Polb;Chd4;Rpa2;Mcm4;Foxp1;Parp3;Inip;Ruvbl1;Actb;Ndfip1;Nono;Smc2;Smchd1;Mcm5;Senp3;Rad21;Csnk2a1;Msh6,GO Slim,CTLvPHE
GOSLIM_DNA_REPLICATION,0.024013861220085746,0.12487207834444589,0.35248785758361917,-0.3091464531127253,-1.3870966732834507,100,Rfc1;Ube2v2;Mcm7;Rpa1;Rbbp6;Rac1;Top1;Cdk2;Ube2n;Yy1;Ilkap;Ube2v1l1;Mcm6;Pola2;Polb;Rfc5;Cacybp;Ccne1;Rpa2;Mcm4;Cdk1;Ruvbl1;Pcna;Rfc4;Jun;Rbbp7;Ssrp1;Nfic;Mcm5;Mapk15;Carm1;Bod1l1;Recql;Zmpste24;Dhfr;Mcm2;Stn1;Nfib;Pds5a;Pole3,GO Slim,CTLvPHE
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,0.23550724637681159,0.38269927536231885,0.11828752612408502,0.2598119955413237,1.1371214702058319,98,Myo18a;Ehbp1l1;Dst;Fat1;Phldb2;Ezr;Macf1;Amotl2;Gsn;Rhoa;Itgb1;Flot2;Arhgef2;Abl1;Myo9b;Kif3a;Arhgap35;Pak1,GO Slim,CTLvPHE
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,0.023165416607637893,0.12487207834444589,0.35248785758361917,0.3161933734065447,1.3926545128342758,102,Ccn2;Myo1e;Ccn1;Fkbp10;Pbxip1;Col11a1;Phldb2;Mia3;Nfkb2;Col5a2;Lamc1;Lamb2;Lox;Sulf1;Nid1;Itgb1;Lamb1;Col12a1;Dag1;Gas6;Abl1;Colgalt1;Eng,GO Slim,CTLvPHE
